subRESRegio;neighbours
ET0101;ET0201
ET0101;ET0301
ET0201;ET0101
ET0201;ET0301
ET0201;ET0501
ET0201;ET0601
ET0301;ET0101
ET0301;ET0201
ET0301;ET0501
ET0401;ET0501
ET0401;ET0701
ET0401;ET1201
ET0501;ET0201
ET0501;ET0301
ET0501;ET0401
ET0501;ET0601
ET0501;ET1001
ET0501;ET1201
ET0601;ET0201
ET0601;ET0501
ET0601;ET0901
ET0601;ET1001
ET0601;ET1604
ET0601;ET1503
ET0701;ET0401
ET0701;ET0801
ET0701;ET1201
ET0801;ET0701
ET0801;ET0901
ET0801;ET1101
ET0801;ET1201
ET0801;ET2701
ET0801;ET2901
ET0901;ET0601
ET0901;ET0801
ET0901;ET0902
ET0901;ET1001
ET0901;ET1101
ET0901;ET1201
ET0901;ET1301
ET0902;ET0901
ET0902;ET1101
ET0902;ET1301
ET0902;ET1401
ET1001;ET0501
ET1001;ET0601
ET1001;ET0901
ET1001;ET1201
ET1101;ET0801
ET1101;ET0901
ET1101;ET0902
ET1101;ET1401
ET1101;ET1701
ET1101;ET2501
ET1101;ET2701
ET1101;ET2801
ET1201;ET0401
ET1201;ET0501
ET1201;ET0701
ET1201;ET0801
ET1201;ET0901
ET1201;ET1001
ET1301;ET0901
ET1301;ET0902
ET1301;ET1401
ET1301;ET1604
ET1401;ET0902
ET1401;ET1101
ET1401;ET1301
ET1401;ET1601
ET1401;ET1604
ET1401;ET1606
ET1401;ET1701
ET1401;ET2101
ET1401;ET2201
ET1501;ET0201
ET1501;ET1502
ET1501;ET1503
ET1502;ET1501
ET1502;ET1503
ET1502;ET1602
ET1502;ET1603
ET1503;ET0601
ET1503;ET1501
ET1503;ET1502
ET1503;ET1603
ET1601;ET1401
ET1601;ET1603
ET1601;ET1604
ET1601;ET1605
ET1601;ET1606
ET1602;ET1502
ET1602;ET1603
ET1602;ET1605
ET1602;ET2101
ET1603;ET1502
ET1603;ET1503
ET1603;ET1601
ET1603;ET1602
ET1603;ET1605
ET1604;ET0601
ET1604;ET1301
ET1604;ET1401
ET1604;ET1601
ET1604;ET1606
ET1605;ET1601
ET1605;ET1602
ET1605;ET1603
ET1605;ET1606
ET1605;ET2101
ET1606;ET1401
ET1606;ET1601
ET1606;ET1605
ET1606;ET2101
ET1701;ET1101
ET1701;ET1401
ET1701;ET1801
ET1701;ET2201
ET1701;ET2301
ET1701;ET2801
ET1801;ET1701
ET1801;ET2001
ET1801;ET2301
ET1801;ET2801
ET1901;ET2001
ET1901;ET2301
ET1901;ET2401
ET1901;ET2801
ET2001;ET1801
ET2001;ET1901
ET2001;ET2301
ET2001;ET2801
ET2101;ET1401
ET2101;ET1602
ET2101;ET1605
ET2101;ET1606
ET2101;ET2201
ET2101;ET2301
ET2201;ET1401
ET2201;ET1701
ET2201;ET2101
ET2201;ET2301
ET2301;ET1701
ET2301;ET1801
ET2301;ET1901
ET2301;ET2001
ET2301;ET2101
ET2301;ET2201
ET2401;ET1901
ET2401;ET2801
ET2501;ET1101
ET2501;ET2601
ET2501;ET2701
ET2501;ET2801
ET2601;ET2501
ET2601;ET2701
ET2601;ET2901
ET2701;ET0801
ET2701;ET1101
ET2701;ET2501
ET2701;ET2601
ET2701;ET2901
ET2801;ET1101
ET2801;ET1701
ET2801;ET1801
ET2801;ET1901
ET2801;ET2001
ET2801;ET2401
ET2801;ET2501
ET2901;ET0801
ET2901;ET2601
ET2901;ET2701
ET2901;ET3003
ET3001;ET3002
ET3001;ET3003
ET3002;ET3001
ET3002;ET3003
ET3003;ET3001
ET3003;ET3002
