ID_x,Woningkenmerken,RegioS,Perioden,GemiddeldAardgasverbruik_1,GemiddeldeElektriciteitslevering_2,GemiddeldeNettoElektriciteitslevering_3,Stadsverwarming_4,region_year,norm_prod_solar_smallpower,norm_prod_solar_bigpower,norm_prod_solar_allpower,norm_prod_wind,ParticuliereHuishoudensRelatief_2,GemiddeldGestandaardiseerdInkomen_3,MediaanGestandaardiseerdInkomen_4,GemiddeldBesteedbaarInkomen_5,MediaanBesteedbaarInkomen_6,GestandaardiseerdInkomen1e10Groep_7,GestandaardiseerdInkomen2e10Groep_8,GestandaardiseerdInkomen3e10Groep_9,GestandaardiseerdInkomen4e10Groep_10,GestandaardiseerdInkomen5e10Groep_11,GestandaardiseerdInkomen6e10Groep_12,GestandaardiseerdInkomen7e10Groep_13,GestandaardiseerdInkomen8e10Groep_14,GestandaardiseerdInkomen9e10Groep_15,GestandaardiseerdInkomen10e10Groep_16,ParticuliereHuishoudens_1,BevolkingAanHetBeginVanDePeriode_1,BevolkingAanHetEindeVanDePeriode_15,BevolkingsgroeiSinds1Januari_13,Bevolkingsgroei_11,EmigratieInclusiefAdmCorrecties_9,ID_y,Immigratie_6,LevendGeborenKinderen_2,OverigeCorrecties_10,Overledenen_3,TotaalVertrekInclAdmCorrecties_7,TotaleVestiging_4,VertrekNaarAndereGemeente_8,VestigingVanuitEenAndereGemeente_5,BevolkingsgroeiRelatief_12,BevolkingsgroeiSinds1JanuariRela_14,"(5, 'RegioS')","(5, 'Perioden')","(11, 'RegioS')","(11, 'Perioden')","(17, 'RegioS')","(17, 'Perioden')","(23, 'RegioS')","(23, 'Perioden')","(29, 'RegioS')","(29, 'Perioden')","(35, 'RegioS')","(35, 'Perioden')","(41, 'RegioS')","(41, 'Perioden')","(47, 'RegioS')","(47, 'Perioden')","(63, 'RegioS')","(63, 'Perioden')","(69, 'RegioS')","(69, 'Perioden')","(75, 'RegioS')","(75, 'Perioden')","(81, 'RegioS')","(81, 'Perioden')","(87, 'RegioS')","(87, 'Perioden')","(138, 'RegioS')","(138, 'Perioden')","(144, 'RegioS')","(144, 'Perioden')","(150, 'RegioS')","(150, 'Perioden')","(156, 'RegioS')","(156, 'Perioden')","(162, 'RegioS')","(162, 'Perioden')","(168, 'RegioS')","(168, 'Perioden')","(174, 'RegioS')","(174, 'Perioden')","(180, 'RegioS')","(180, 'Perioden')","(186, 'RegioS')","(186, 'Perioden')","(192, 'RegioS')","(192, 'Perioden')","(198, 'RegioS')","(198, 'Perioden')","(204, 'RegioS')","(204, 'Perioden')","(210, 'RegioS')","(210, 'Perioden')"
6638.0,T001100,ET0101,2018JJ00,,,,,ET0101_2018JJ00,111.0,122.0,233.0,927.0,100.0,25.1218290119131,22.685599159074982,35.04649614576033,29.22831114225648,17.16152768044849,12.00070077084793,11.135949544498947,10.429922915206728,10.26278906797477,9.295374912403645,8.76489138051857,8.017869656622285,7.059915907498247,6.187806587245969,285.4,"398533,000000","399540,000000","1007,000000","1007,000000","5087,000000",1167159,"16221,000000","3339,000000","24,000000","3663,000000","37055,000000","38362,000000","31968,000000","22141,000000","0,125714","0,125714",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6639.0,T001100,ET0101,2019JJ00,,,,,ET0101_2019JJ00,130.0,175.0,304.0,986.0,100.0,26.50592747559275,23.762726638772676,36.94808228730824,30.51412133891214,17.194909344490938,12.017782426778243,11.04916317991632,10.424337517433752,10.078800557880058,9.297768479776847,8.778940027894004,7.952928870292888,7.049860529986055,6.049163179916318,286.8,"537939,000000","540009,000000","2070,000000","2070,000000","6055,000000",1167289,"16271,000000","4659,000000","15,000000","4949,000000","40699,000000","43044,000000","34644,000000","26773,000000","0,252222","0,252222",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6640.0,T001100,ET0101,2020JJ00,1320.0,2530.0,,,ET0101_2020JJ00,171.0,423.0,594.0,1056.0,99.99999999999996,27.42797081306462,24.85524669909659,38.268867268936745,31.80548992355802,16.932592077831828,11.747394023627518,11.211257817929116,10.751216122307158,10.135858234885337,9.298818624044472,8.776580958999304,7.995482974287699,7.124391938846419,6.099722029186934,287.8,"540009,000000","541350,000000","1341,000000","1341,000000","6258,000000",1167419,"13693,000000","4612,000000","24,000000","5159,000000","39624,000000","41488,000000","33366,000000","27795,000000","0,321111","0,321111",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6641.0,T001100,ET0101,2021JJ00,1460.0,2570.0,2170.0,,ET0101_2021JJ00,211.0,689.0,901.0,1624.0,100.0,28.93604691272853,25.997447395653676,40.23163159710245,32.98785788202829,17.021731631597106,11.294239392894102,11.112452569851673,10.746809244567093,10.178682304242844,9.201103828906518,9.054846498792688,8.057606071058986,7.217661262504313,5.530872714729217,289.90000000000003,"586937,000000","590170,000000","3233,000000","3233,000000","5665,000000",1167549,"22575,000000","5306,000000","69,000000","6201,000000","47581,000000","51640,000000","41916,000000","29065,000000","0,460000","0,460000",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6642.0,T001100,ET0101,2022JJ00,1140.0,2440.0,1910.0,,ET0101_2022JJ00,310.0,901.0,1211.0,1966.0,100.0,30.4515047879617,27.46073871409029,42.28481532147743,34.66730506155952,16.49179206566348,11.981532147742818,11.510943912448704,10.857729138166894,10.140218878248977,9.801983584131328,8.621751025991793,8.055061559507525,7.124145006839946,5.441518467852258,292.4,"590170,000000","596075,000000","5905,000000","5905,000000","6461,000000",1167679,"28650,000000","4994,000000","25,000000","6192,000000","50212,000000","57290,000000","43751,000000","28640,000000","0,840000","0,840000",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
,,ET0101,2023JJ00,,,,,ET0101_2023JJ00,,,,,,,,,,,,,,,,,,,,,"596075,000000","601510,000000","5435,000000","5435,000000","7331,000000",1167809,"26663,000000","4852,000000","0,000000","6176,000000","52285,000000","59044,000000","44954,000000","32381,000000","0,253000","0,253000",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6651.0,T001100,ET0201,2018JJ00,,,,,ET0201_2018JJ00,117.0,130.0,247.0,388.0,100.0,27.285164644714044,24.848180242634317,39.397435008665504,33.59722703639515,9.528596187175042,11.157365684575389,11.362564991334487,11.441594454072789,11.632928942807624,10.898093587521664,10.247140381282495,9.242287694974005,7.664124783362218,6.3850953206239165,288.5,"601981,000000","602491,000000","510,000000","510,000000","2728,000000",1924365,"3904,000000","5331,000000","-1,000000","5977,000000","28095,000000","29252,000000","25367,000000","25348,000000","0,071765","0,071765",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6652.0,T001100,ET0201,2019JJ00,,,,,ET0201_2019JJ00,153.0,192.0,345.0,415.0,100.0,28.92169421487603,26.016253443526164,41.72957988980716,35.04865702479338,9.753099173553718,10.820936639118456,11.33677685950413,11.49724517906336,11.59366391184573,10.933539944903576,10.165633608815426,9.175275482093664,7.733126721763085,6.181818181818182,290.4,"647672,000000","649957,000000","2285,000000","2285,000000","2676,000000",1924599,"4497,000000","5957,000000","-2,000000","6256,000000","28816,000000","31402,000000","26140,000000","26905,000000","0,390000","0,390000",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6653.0,T001100,ET0201,2020JJ00,1310.0,2630.0,,,ET0201_2020JJ00,217.0,296.0,513.0,453.0,100.0,29.51026342798496,27.11922682175847,42.61063975367773,36.333150872391386,9.76736229900787,10.812863496407802,11.116318850496066,11.488881286349642,11.52719808416011,11.139924734861449,10.33869312350325,9.166609647622304,7.904208005473828,6.121108450222375,292.3,"649957,000000","651435,000000","1478,000000","1478,000000","2532,000000",1924833,"3513,000000","5841,000000","-17,000000","6453,000000","28848,000000","30955,000000","26316,000000","27442,000000","0,312778","0,312778",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
6654.0,T001100,ET0201,2021JJ00,1460.0,2680.0,2240.0,,ET0201_2021JJ00,257.0,433.0,690.0,993.0,100.0,30.749744984699085,28.264535872152333,44.310676640598444,37.74243454607277,9.821489289357364,10.737504250255016,11.485889153349202,11.679020741244477,11.208772526351584,11.301258075484531,10.154029241754507,9.234954097245836,7.808568514110847,5.918395103706224,294.1,"651435,000000","654019,000000","2584,000000","2584,000000","2520,000000",1925067,"3349,000000","6319,000000","-18,000000","7069,000000","28676,000000","32028,000000","26156,000000","28679,000000","0,477778","0,477778",ET0101,2023JJ00,ET0201,2023JJ00,ET0301,2023JJ00,ET0401,2023JJ00,ET0501,2023JJ00,ET0601,2023JJ00,ET0701,2023JJ00,ET0801,2023JJ00,ET1001,2023JJ00,ET1101,2023JJ00,ET1201,2023JJ00,ET1301,2023JJ00,ET1401,2023JJ00,ET1701,2023JJ00,ET1801,2023JJ00,ET1901,2023JJ00,ET2001,2023JJ00,ET2101,2023JJ00,ET2201,2023JJ00,ET2301,2023JJ00,ET2401,2023JJ00,ET2501,2023JJ00,ET2601,2023JJ00,ET2701,2023JJ00,ET2801,2023JJ00,ET2901,2023JJ00
